latitude,longitude,date,time,crime_type
51.60643500108988,-0.32570481635846327,2024-04-27,19:00,Burglary
51.63230161171217,-0.15540874410922262,2024-04-20,03:30,Littering
51.43511466625163,-0.16673211689609296,2024-04-11,05:15,Assault
51.301970247582915,-0.3824309992050734,2024-04-07,10:45,Trespassing
51.62769568587427,-0.08518738307949386,2024-04-07,19:45,Noise Complaint
51.395609542127836,-0.00269539235282229,2024-04-02,16:30,Theft
51.586672864487696,-0.2950774808985198,2024-04-22,22:15,Murder
51.49582407700263,-0.33264186455052097,2024-04-18,00:00,Murder
51.31079797905102,-0.3972195207306333,2024-04-13,05:15,Littering
51.40520648954525,-0.3029675348599806,2024-04-01,19:45,Trespassing
51.44104615231571,0.09203739448239323,2024-04-14,17:45,Murder
51.498729268863094,0.01969226788915568,2024-04-10,22:00,Noise Complaint
51.60482101814066,-0.31748706390658826,2024-04-07,03:45,Theft
51.4993520800645,-0.122940676462724,2024-04-07,06:45,Assault
51.35676689563355,-0.4518848325489691,2024-04-16,07:15,Noise Complaint
51.48682525024557,-0.010696861229454235,2024-04-03,06:30,Trespassing
51.379280051573,-0.26284996924949444,2024-04-14,22:45,Theft
51.42453615296736,-0.2592317342794844,2024-04-08,04:15,Murder
51.66031616648916,-0.00978107492671515,2024-04-06,17:00,Noise Complaint
51.35125617852341,0.038186760347230564,2024-04-08,10:30,Noise Complaint
51.48853417050665,-0.07381162765744004,2024-04-23,00:15,Assault
51.58928004364701,-0.491279974064769,2024-04-27,00:15,Theft
51.306884348889234,0.010684576462819284,2024-04-07,11:00,Murder
51.334335814159026,-0.09557252359390223,2024-04-11,08:30,Noise Complaint
51.63693577063984,-0.33539310233771835,2024-04-23,04:30,Theft
51.354842730814376,-0.22549530550968794,2024-04-10,12:30,Littering
51.30453610895619,-0.4604236910579362,2024-04-23,17:00,Robbery
51.30295090082131,-0.3798641982338835,2024-04-19,22:45,Littering
51.520567279064245,-0.024121979664925686,2024-04-29,18:30,Burglary
51.61640600885696,0.09188457988034027,2024-04-14,17:15,Robbery
51.46968936131025,-0.17220317216094388,2024-04-11,08:30,Assault
51.46110512313523,-0.44253092504616726,2024-04-30,15:30,Robbery
51.42410417989823,-0.4028436775522907,2024-04-07,02:45,Noise Complaint
51.531060168165176,0.03744056464480694,2024-04-09,03:15,Noise Complaint
51.60265781030944,0.0024871355651194804,2024-04-28,23:15,Noise Complaint
51.39231233517652,-0.010937285166259858,2024-04-07,15:45,Trespassing
51.369014325748196,0.0044545181919857235,2024-04-02,02:15,Noise Complaint
51.440561690635846,-0.3153084035554968,2024-04-12,20:45,Burglary
51.38888916570651,-0.15490861871203432,2024-04-14,13:00,Noise Complaint
51.32356262492291,0.09860073087482912,2024-04-06,03:15,Assault
51.58764171101102,-0.2978260531624748,2024-04-28,12:45,Robbery
51.30840801266338,0.028134125352304418,2024-04-01,20:15,Burglary
51.356869765875615,-0.2711383341997806,2024-04-02,08:00,Trespassing
51.466765259781674,-0.17533378173503084,2024-04-11,17:30,Murder
51.33132721785544,-0.4384683053537343,2024-04-02,17:00,Murder
51.37741003542119,-0.2041180727301436,2024-04-26,00:15,Robbery
51.40898483717532,-0.07117259922245966,2024-04-19,12:30,Robbery
51.48971328167984,-0.4597714130660885,2024-04-09,05:00,Robbery
51.421930348301736,-0.27586597727881446,2024-04-19,13:15,Robbery
51.622357939839155,0.051302381701498256,2024-04-02,13:45,Murder
51.52768980574381,-0.05724636811434841,2024-04-03,21:30,Noise Complaint
51.61350782529878,0.039134707863730966,2024-04-22,22:30,Littering
51.63460854668179,-0.17858807406727067,2024-04-02,07:30,Robbery
51.46819754498642,-0.10733743088949005,2024-04-26,23:00,Trespassing
51.59300963663162,-0.07487498458503156,2024-04-17,05:45,Assault
51.577146552549074,0.02764897835534419,2024-04-11,11:45,Theft
51.60423827114928,-0.16754098377294274,2024-04-25,17:00,Noise Complaint
51.56818363313576,0.0031948908640127005,2024-04-17,19:30,Assault
51.65099571682261,-0.17188748229039702,2024-04-06,22:15,Murder
51.42244758359229,-0.2522777848188581,2024-04-06,12:00,Theft
51.329245398789816,-0.3661076538702473,2024-04-20,01:00,Littering
51.41313550285488,0.028774323859561912,2024-04-04,07:00,Trespassing
51.315247730289315,-0.3138352367034422,2024-04-12,08:00,Littering
51.52655682120168,-0.004130372890707779,2024-04-12,00:45,Murder
51.68578673091334,-0.29332757936134357,2024-04-03,15:15,Murder
51.608562746473005,-0.1848737574106818,2024-04-15,14:00,Noise Complaint
51.53130158244441,-0.3464787524671787,2024-04-07,08:30,Theft
51.42820867081851,-0.21911069218874668,2024-04-24,09:15,Trespassing
51.46849523928011,-0.2562358576192635,2024-04-10,05:00,Noise Complaint
51.551373950732774,-0.016918599653678035,2024-04-15,06:00,Trespassing
51.68662437209123,-0.08501651119051817,2024-04-18,22:00,Robbery
51.48388375149173,-0.19477395139051779,2024-04-21,12:30,Theft
51.68554376152976,-0.2216729459514512,2024-04-02,05:45,Burglary
51.324792295121085,-0.12484066701813373,2024-04-09,09:00,Burglary
51.62224662443846,-0.23480294717447964,2024-04-26,16:00,Assault
51.584092653901536,-0.05265625952596875,2024-04-01,10:45,Littering
51.497957868894716,-0.479728875417873,2024-04-23,11:30,Robbery
51.427614331178155,-0.25933834347680096,2024-04-13,11:15,Robbery
51.357496610337186,-0.2332129657232711,2024-04-25,20:45,Assault
51.40944028976813,-0.38167451734995567,2024-04-16,21:15,Theft
51.45056912629291,0.09690351538863073,2024-04-26,13:15,Assault
51.47400343073308,-0.14060898275595163,2024-04-16,18:45,Burglary
51.4136856401004,-0.26207897265804936,2024-04-26,08:45,Robbery
51.36898769477698,-0.458732534390771,2024-04-01,13:15,Theft
51.46302537601301,-0.10625067403688271,2024-04-07,17:45,Assault
51.69298146500115,-0.2412484245847027,2024-04-18,04:00,Robbery
51.307702588800204,-0.4751466410612216,2024-04-30,06:15,Murder
51.581340409798635,-0.4006542449722643,2024-04-12,08:45,Theft
51.56664452409643,0.04407758537954731,2024-04-22,14:30,Littering
51.691860970016734,0.021846854784292602,2024-04-21,10:45,Robbery
51.47337177930367,-0.10794991190799225,2024-04-12,02:15,Theft
51.54623955978806,-0.23128969774757085,2024-04-01,12:00,Littering
51.34391280589681,-0.4702365514236806,2024-04-26,18:00,Murder
51.437815293210406,0.05589328439239449,2024-04-24,20:30,Robbery
51.49639784560557,-0.06050671665597285,2024-04-29,07:00,Theft
51.605029838761304,-0.03669869314510399,2024-04-02,08:45,Robbery
51.55395063650751,-0.37887351011324255,2024-04-24,03:15,Assault
51.57165716801618,-0.053752145146487185,2024-04-02,10:45,Robbery
51.67295644865903,-0.001167487711982662,2024-04-10,04:00,Noise Complaint
51.48678613747421,-0.18615461452715554,2024-04-17,05:30,Murder
